# Success Rate (%)  Found Count  Total Count
  30.00000    3.00000   10.00000
   0.00000    0.00000    0.00000
  60.00000    6.00000   10.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000   10.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000   10.00000
   0.00000    0.00000    0.00000
  30.00000    6.00000   20.00000
  45.00000    9.00000   20.00000
  10.00000    1.00000   10.00000
  10.00000    1.00000   10.00000
  35.00000    7.00000   20.00000
  10.00000    2.00000   20.00000
   0.00000    0.00000    0.00000
  30.00000    9.00000   30.00000
  40.00000    8.00000   20.00000
  45.00000    9.00000   20.00000
  33.33333   10.00000   30.00000
  54.00000   27.00000   50.00000
  16.66667    5.00000   30.00000
  20.00000    6.00000   30.00000
 100.00000   10.00000   10.00000
  50.00000   10.00000   20.00000
  52.50000   21.00000   40.00000
  66.66667   20.00000   30.00000
  78.00000   39.00000   50.00000
  78.00000   39.00000   50.00000
  27.50000   11.00000   40.00000
  52.50000   21.00000   40.00000
  92.50000   37.00000   40.00000
  77.14286   54.00000   70.00000
  75.63025   90.00000  119.00000
  71.25000   57.00000   80.00000
  93.33333   28.00000   30.00000
  88.88889   80.00000   90.00000
  86.66667   78.00000   90.00000
  94.00000   47.00000   50.00000
  97.00000   97.00000  100.00000
 100.00000   30.00000   30.00000
   0.00000    0.00000    9.00000
   0.00000    0.00000    0.00000
   0.00000    0.00000    0.00000
