SMILES,H_count,C_count,N_count,O_count,F_count
CO,4,1,0,1,0
C=O,2,1,0,1,0
C#C,2,2,0,0,0
CC,6,2,0,0,0
CCO,6,2,0,1,0
CC#C,4,3,0,0,0
C1CO1,4,2,0,1,0
CC=O,4,2,0,1,0
CCC,8,3,0,0,0
NC=O,3,1,1,1,0
COC,6,2,0,1,0
OCCO,6,2,0,2,0
CCC#C,6,4,0,0,0
CC(C)=O,6,3,0,1,0
CC(C)O,8,3,0,1,0
OCC#N,3,2,1,1,0
C#CC#C,2,4,0,0,0
CCC#N,5,3,1,0,0
CC#CC,6,4,0,0,0
CCCO,8,3,0,1,0
CC(N)=O,5,2,1,1,0
NC(N)=O,4,1,2,1,0
CC1CC1,8,4,0,0,0
CC(C)C,10,4,0,0,0
CCCC,10,4,0,0,0
CC1CO1,6,3,0,1,0
CNC=O,5,2,1,1,0
C1COC1,6,3,0,1,0
OCC=O,4,2,0,2,0
N#CC#N,0,2,2,0,0
O=CC=O,2,2,0,2,0
NCC#N,4,2,2,0,0
OC1CC1,6,3,0,1,0
COC=O,4,2,0,2,0
C#CC#N,1,3,1,0,0
CC#CC=O,4,4,0,1,0
COCC#N,5,3,1,1,0
O=C1COC1,4,3,0,2,0
CCCCO,10,4,0,1,0
NC(=O)C#C,3,3,1,1,0
N=C1CCO1,5,3,1,1,0
OC1CCC1,8,4,0,1,0
CC(=O)CO,6,3,0,2,0
O=CNC=O,3,2,1,2,0
C1C2CCC12,8,5,0,0,0
OCCCO,8,3,0,2,0
NC(=O)C=O,3,2,1,2,0
COCC#C,6,4,0,1,0
CC(O)C=O,6,3,0,2,0
O=C1CCN1,5,3,1,1,0
N=CNC=O,4,2,2,1,0
O=CC1CC1,6,4,0,1,0
COC(C)=O,6,3,0,2,0
N#CCC#N,2,3,2,0,0
O1C=NN=C1,2,2,2,1,0
CC(=O)C#C,4,4,0,1,0
[NH3+]CC([O-])=O,5,2,1,2,0
N=COC=O,3,2,1,2,0
CCC(C)=O,8,4,0,1,0
N1C=CN=N1,3,2,3,0,0
CNC(N)=O,6,2,2,1,0
O=CC1CO1,4,3,0,2,0
O1N=NN=N1,0,0,4,1,0
CC1CC1C,10,5,0,0,0
O1C=CC=C1,4,4,0,1,0
CC#CC#C,4,5,0,0,0
COC=NC,7,3,1,1,0
CC1(C)CC1,10,5,0,0,0
CC1CCO1,8,4,0,1,0
CC(O)CO,8,3,0,2,0
CC(C)C#C,8,5,0,0,0
O1C=NN=N1,1,1,3,1,0
